"","Regional sea","P","EC","count","Smean","Smedian"
"194","Mediteranean Sea",7,2,6,2,2
"195","Mediteranean Sea",7,3,6,2,2
"196","Mediteranean Sea",7,4,6,2,2
"197","Mediteranean Sea",7,5,6,2,2
"198","Mediteranean Sea",7,6,6,2,2
"199","Mediteranean Sea",7,7,6,1,1
"200","Mediteranean Sea",7,8,6,1.5,1.5
"201","Mediteranean Sea",7,9,6,1.5,1.5
"202","Mediteranean Sea",7,10,6,1.5,1.5
"203","Mediteranean Sea",7,11,6,1.5,1.5
"204","Mediteranean Sea",7,12,6,1.5,1.5
"205","Mediteranean Sea",7,13,6,1.5,1.5
"206","Mediteranean Sea",7,14,6,1.5,1.5
"207","Mediteranean Sea",7,15,6,1.5,1.5
"208","Mediteranean Sea",7,16,6,2,2
"209","Mediteranean Sea",7,17,6,2,2
"210","Mediteranean Sea",7,18,6,2,2
"211","Mediteranean Sea",7,19,6,1.5,1.5
"212","Mediteranean Sea",7,20,6,1,1
"213","Mediteranean Sea",7,21,6,1,1
"214","Mediteranean Sea",7,22,6,1,1
"215","Mediteranean Sea",7,23,6,1,1
"216","Mediteranean Sea",7,24,6,1,1
"217","Mediteranean Sea",7,25,6,1.5,1.5
"218","Mediteranean Sea",7,26,6,1.5,1.5
"219","Mediteranean Sea",7,27,6,1,1
"220","Mediteranean Sea",7,28,6,1,1
"221","Mediteranean Sea",7,29,6,1,1
"222","Mediteranean Sea",7,30,6,1.5,1.5
"223","Mediteranean Sea",7,31,6,2,2
"224","Mediteranean Sea",7,32,6,1,1
"225","Mediteranean Sea",8,1,6,2,2
"226","Mediteranean Sea",8,2,6,2,2
"227","Mediteranean Sea",8,3,6,2,2
"228","Mediteranean Sea",8,4,6,2,2
"229","Mediteranean Sea",8,5,6,2,2
"230","Mediteranean Sea",8,6,6,1.5,1.5
"231","Mediteranean Sea",8,7,6,1,1
"232","Mediteranean Sea",8,8,6,1,1
"233","Mediteranean Sea",8,9,6,1,1
"234","Mediteranean Sea",8,10,6,1,1
"235","Mediteranean Sea",8,11,6,2,2
"236","Mediteranean Sea",8,12,6,0.5,0.5
"237","Mediteranean Sea",8,13,6,0.5,0.5
